x,y,z,r,g,b
24700,27100,496,255,0,0
24800,0,42,255,0,0
24800,1200,1,255,0,0
24800,4600,71,255,0,0
24800,13000,459,255,0,0
24800,19500,308,255,0,0
24800,27100,491,255,0,0
24900,19100,308,255,0,0
24900,23700,369,255,0,0
25000,800,3,255,0,0
25000,8400,165,255,0,0
25000,20400,310,255,0,0
25000,22200,313,255,0,0
25100,200,6,255,0,0
25100,3000,14,255,0,0
25100,5100,90,255,0,0
25100,12500,455,255,0,0
25100,13600,462,255,0,0
25100,28500,421,255,0,0
25200,100,5,255,0,0
25200,2400,0,255,0,0
25200,9300,265,255,0,0
25200,17700,215,255,0,0
25200,20500,301,255,0,0
25300,1700,0,255,0,0
25300,7700,132,255,0,0
25300,13800,451,255,0,0
25300,20200,308,255,0,0
25300,23700,431,255,0,0
25400,3200,19,255,0,0
25400,3400,24,255,0,0
25400,11500,463,255,0,0
25400,13700,458,255,0,0
25400,14100,423,255,0,0
25400,15700,228,255,0,0
25400,18400,303,255,0,0
25400,22000,306,255,0,0
25400,24100,452,255,0,0
25500,1700,0,255,0,0
25500,2100,0,255,0,0
25500,2300,0,255,0,0
25500,3800,20,255,0,0
25500,3900,21,255,0,0
25500,19600,293,255,0,0
25500,27100,491,255,0,0
25500,27200,487,255,0,0
25500,28700,412,255,0,0
25600,4400,15,255,0,0
25600,5100,78,255,0,0
25600,6100,20,255,0,0
25600,7800,133,255,0,0
25600,24600,466,255,0,0
25700,7800,134,255,0,0
25700,8800,156,255,0,0
25700,17300,217,255,0,0
25700,17400,219,255,0,0
25800,9700,275,255,0,0
25800,11200,461,255,0,0
25800,11300,467,255,0,0
25800,14900,424,255,0,0
25900,24800,467,255,0,0
26000,0,4,255,0,0
26000,6100,21,255,0,0
26000,13700,456,255,0,0
26000,13800,446,255,0,0
26000,16000,219,255,0,0
26000,18100,281,255,0,0
26000,29200,415,255,0,0
26100,7300,118,255,0,0
26100,17000,213,255,0,0
26100,17500,225,255,0,0
26100,21600,305,255,0,0
26100,21800,324,255,0,0
26200,5000,13,255,0,0
26200,14200,430,255,0,0
26200,21800,325,255,0,0
26200,25700,489,255,0,0
26200,26600,512,255,0,0
26300,0,3,255,0,0
26300,5300,16,255,0,0
26300,8800,154,255,0,0
26300,10100,276,255,0,0
26300,10400,275,255,0,0
26300,11100,501,255,0,0
26300,13300,513,255,0,0
26300,14200,429,255,0,0
26300,16000,220,255,0,0
26300,20500,277,255,0,0
26300,22500,324,255,0,0
26300,27500,494,255,0,0
26400,5700,22,255,0,0
26400,9800,276,255,0,0
26400,16000,217,255,0,0
26400,27000,510,255,0,0
26500,4900,1,255,0,0
26500,5200,4,255,0,0
26500,21500,301,255,0,0
26500,21900,330,255,0,0
26500,26300,500,255,0,0
26600,10200,276,255,0,0
26600,12400,521,255,0,0
26600,14600,424,255,0,0
26600,16500,212,255,0,0
26600,16600,212,255,0,0
26700,4300,0,255,0,0
26700,12000,527,255,0,0
26700,14900,424,255,0,0
26700,24000,436,255,0,0
26700,26700,511,255,0,0
26700,27200,507,255,0,0
26800,0,2,255,0,0
26800,1400,0,255,0,0
26800,6300,119,255,0,0
26800,11500,521,255,0,0
26800,16000,216,255,0,0
26800,18800,280,255,0,0
26800,19500,282,255,0,0
26800,20300,280,255,0,0
26900,4200,0,255,0,0
26900,12300,525,255,0,0
26900,27400,498,255,0,0
26900,27500,495,255,0,0
26900,29900,528,255,0,0
27000,3100,7,255,0,0
27000,11500,532,255,0,0
27000,14000,574,255,0,0
27000,18900,263,255,0,0
27100,3300,5,255,0,0
27100,3900,0,255,0,0
27100,4600,6,255,0,0
27100,11200,520,255,0,0
27100,19800,264,255,0,0
27100,23300,319,255,0,0
27100,26300,447,255,0,0
27200,100,0,255,0,0
27200,900,0,255,0,0
27200,8600,144,255,0,0
27200,15700,222,255,0,0
27200,20800,291,255,0,0
27200,24100,436,255,0,0
27200,28100,565,255,0,0
27200,29200,564,255,0,0
27200,29900,541,255,0,0
27300,700,0,255,0,0
27300,2600,10,255,0,0
27300,3500,0,255,0,0
27300,11200,532,255,0,0
27300,18300,213,255,0,0
27300,27600,495,255,0,0
27400,15600,242,255,0,0
27400,15900,240,255,0,0
27400,23100,299,255,0,0
27400,26400,442,255,0,0
27400,26700,449,255,0,0
27500,700,0,255,0,0
27500,16200,232,255,0,0
27500,16300,230,255,0,0
27500,20800,290,255,0,0
27500,28000,561,255,0,0
27600,3400,1,255,0,0
27600,11100,532,255,0,0
27600,15000,256,255,0,0
27600,16600,231,255,0,0
27600,16700,229,255,0,0
27700,2400,6,255,0,0
