X,Y,Z,Red,Green,Blue,TreeType,RoadAttribute,Moisture,Roughness,Height,Slope
267472,172101,164,255,0,0,0,0,0.0156863,0.235294,164,0.524876
267502,152031,237,0,255,0,1,0.00392157,0.0745098,0.262745,237,0.392699
268462,171261,171,255,0,0,0,0.00392157,0.00784314,0.262745,171,0.392699
268792,160431,1937,0,255,0,1,0.2,0.215686,0.25098,1937,0.59288
268852,171621,172,255,0,0,0,0.317647,0.00784314,0.262745,172,0.19635
268912,158541,1718,0,255,0,1,0.00392157,0.0588235,0.25098,1718,0.524876
268972,171441,165,255,0,0,0,0,0.00784314,0.239216,165,0.460703
269032,158481,1716,0,255,0,1,0.00392157,0.054902,0.258824,1716,0.460703
269212,172041,168,0,255,0,1,0.00392157,0.0117647,0.25098,168,0.392699
261442,159681,214,255,0,0,0,0,0.0666667,0.247059,214,0.392699
240202,173961,434,0,255,0,1,0,0.0745098,0.270588,434,0.392699
240562,173751,433,255,0,0,0,0,0.0470588,0.266667,433,0.524876
240712,179571,765,0,255,0,1,0.00392157,0.00784314,0.270588,765,0.59288
240772,170151,303,0,255,0,1,0.027451,0.498039,0.258824,303,0.524876
242482,175581,183,255,0,0,0,0.00392157,0.0392157,0.270588,183,0.524876
242512,174951,175,0,255,0,1,0,0.0862745,0.270588,175,0.59288
242602,170961,433,255,0,0,0,0.270588,0.12549,0.294118,433,0.589049
242692,175221,183,255,0,0,0,0,0.0862745,0.270588,183,0.392699
242872,176841,293,0,255,0,1,0,0.00784314,0.231373,293,0.589049
243922,179841,786,0,255,0,1,0.00392157,0.00784314,0.270588,786,0.589049
